data,SO2,NO2,PM10,city
2009-07-10,0.02,0.057,0.13,城市D
2009-07-11,0.012,0.035,0.047,城市D
2009-07-12,0.009,0.034,0.045,城市D
2009-07-13,0.028,0.044,0.1,城市D
2009-07-14,0.004,0.033,0.038,城市D
2009-07-15,0.017,0.048,0.07,城市D
2009-07-16,0.005,0.041,0.064,城市D
2009-07-17,0.003,0.036,0.032,城市D
2009-07-18,0.004,0.029,0.021,城市D
2009-07-19,0.006,0.06,0.099,城市D
2009-07-20,0.013,0.027,0.035,城市D
2009-07-21,0.023,0.056,0,城市D
2009-07-22,0.021,0.047,0.064,城市D
2009-07-23,0.014,0.038,0.054,城市D
2009-07-24,0.013,0.022,0.042,城市D
2009-07-25,0.012,0.018,0.029,城市D
